""	"dairy"	"fruit"	"leafy_greens"	"meat"	"poultry"	"seafood"	"vegetables"
"CC1"	0.27	0.3	0.08	0.22	0.08	0	0.05
"CC101"	0.67	0	0	0	0	0.33	0
"CC1056"	0	1	0	0	0	0	0
"CC1070"	0	1	0	0	0	0	0
"CC11"	0.14	0	0.05	0.05	0.05	0	0.73
"CC1127"	0	0	1	0	0	0	0
"CC121"	0	0	0	0.13	0.37	0.43	0.07
"CC124"	0	0	0	0	0	0	1
"CC131"	0	1	0	0	0	0	0
"CC14"	0.21	0.55	0.07	0.07	0.03	0.07	0
"CC155"	0.07	0.11	0.04	0.14	0.39	0.07	0.18
"CC183"	0.16	0.73	0.1	0	0	0	0.02
"CC19"	0.43	0	0	0	0.14	0.43	0
"CC191"	0.83	0	0.17	0	0	0	0
"CC193"	0.12	0	0	0	0	0.38	0.5
"CC195"	0	0	1	0	0	0	0
"CC199"	0	0.15	0.08	0	0.08	0.46	0.23
"CC2"	0.23	0.2	0	0.13	0.07	0.3	0.07
"CC20"	0	0	0.25	0	0	0	0.75
"CC204"	0.2	0.1	0	0.1	0.5	0	0.1
"CC21"	0.75	0	0	0	0	0.25	0
"CC217"	0.12	0	0	0	0	0	0.88
"CC224"	0.09	0.35	0	0.09	0.04	0.22	0.22
"CC269"	0	1	0	0	0	0	0
"CC288"	0	0.35	0	0	0.12	0.53	0
"CC29"	0.21	0.07	0.07	0.07	0	0	0.57
"CC3"	0.56	0	0	0.22	0	0.22	0
"CC31"	0.33	0	0	0	0.08	0.58	0
"CC321"	0	0.03	0	0.05	0.13	0.76	0.03
"CC37"	0.16	0	0.11	0.21	0.53	0	0
"CC379"	1	0	0	0	0	0	0
"CC388"	0.17	0	0.17	0	0	0	0.67
"CC389"	0.2	0	0.8	0	0	0	0
"CC392"	0.05	0.95	0	0	0	0	0
"CC4"	0.02	0.1	0.02	0.02	0.04	0	0.79
"CC403"	0	0	0	0	1	0	0
"CC412"	0.14	0.81	0	0	0	0	0.05
"CC426"	0	0	0	1	0	0	0
"CC429"	0	1	0	0	0	0	0
"CC450"	0	1	0	0	0	0	0
"CC452"	0	0	1	0	0	0	0
"CC475"	0	0	0	0	1	0	0
"CC489"	0.4	0	0.2	0	0.2	0.2	0
"CC5"	0.31	0.4	0.03	0.07	0.05	0.03	0.11
"CC554"	0.71	0	0.29	0	0	0	0
"CC570"	0.6	0.2	0.2	0	0	0	0
"CC573"	0	0.04	0.92	0	0	0	0.04
"CC59"	0.25	0.62	0	0.12	0	0	0
"CC6"	0.32	0.1	0.19	0.13	0.23	0.03	0
"CC639"	0	0	1	0	0	0	0
"CC663"	0.57	0	0.29	0	0	0.14	0
"CC688"	0	0	0	0	0	0	1
"CC689"	0	0	0	0	0	0	1
"CC7"	0.07	0.01	0.21	0.03	0.01	0.31	0.34
"CC787"	0	1	0	0	0	0	0
"CC8"	0.07	0	0.04	0.44	0.22	0.18	0.05
"CC87"	1	0	0	0	0	0	0
"CC88"	0	0.38	0	0.12	0	0.5	0
"CC9"	0	0.12	0	0.42	0.15	0.04	0.27
"CC90"	1	0	0	0	0	0	0
"CC918"	0	1	0	0	0	0	0
"none"	0.19	0.1	0.05	0.13	0.16	0.05	0.32
"ST1002"	1	0	0	0	0	0	0
"ST1006"	1	0	0	0	0	0	0
"ST1012"	1	0	0	0	0	0	0
"ST1015"	1	0	0	0	0	0	0
"ST1039"	0	0	1	0	0	0	0
"ST1050"	0	0	1	0	0	0	0
"ST1052"	0	0	1	0	0	0	0
"ST1125"	0	1	0	0	0	0	0
"ST1130"	0	1	0	0	0	0	0
"ST1131"	0	1	0	0	0	0	0
"ST1132"	0	1	0	0	0	0	0
"ST1135"	0	1	0	0	0	0	0
"ST1137"	0	1	0	0	0	0	0
"ST1138"	0	1	0	0	0	0	0
"ST1213"	0	0	0	0	1	0	0
"ST1639"	0	1	0	0	0	0	0
"ST1659"	0	1	0	0	0	0	0
"ST1660"	0	1	0	0	0	0	0
"ST1871"	1	0	0	0	0	0	0
"ST213"	0.5	0	0	0	0	0	0.5
"ST364"	0	1	0	0	0	0	0
"ST368"	0	0	1	0	0	0	0
"ST376"	0	0	1	0	0	0	0
"ST390"	0	0	1	0	0	0	0
"ST581"	0	1	0	0	0	0	0
"ST635"	0	0	0	0	1	0	0
"ST648"	0	0	0	0	0	0	1
"ST659"	0	0	0	0	0	0	1
"ST736"	0.25	0.75	0	0	0	0	0
"ST998"	1	0	0	0	0	0	0
