Phenotypes	CC
seafood	CC88
meat	CC5
seafood	CC199
fruit	CC5
vegetables	CC124
dairy	CC1
meat	CC9
seafood	CC121
vegetables	CC388
poultry	CC5
dairy	CC5
dairy	CC14
poultry	CC199
vegetables	none
fruit	CC183
dairy	CC183
vegetables	CC5
fruit	CC392
vegetables	CC7
leafy_greens	CC6
poultry	CC403
seafood	CC321
fruit	CC412
vegetables	CC9
fruit	ST1132
leafy_greens	CC388
vegetables	CC193
fruit	CC183
vegetables	CC4
seafood	CC7
vegetables	CC388
dairy	CC5
dairy	CC6
fruit	CC14
seafood	CC31
poultry	CC9
fruit	CC5
fruit	none
seafood	CC31
dairy	CC5
fruit	ST1125
leafy_greens	CC7
fruit	CC5
fruit	CC5
fruit	CC183
meat	CC4
poultry	CC1
dairy	CC5
poultry	CC14
vegetables	CC5
dairy	CC101
fruit	none
meat	CC9
leafy_greens	CC11
vegetables	CC4
vegetables	CC7
fruit	CC14
fruit	CC412
fruit	CC183
fruit	none
fruit	CC918
fruit	ST1138
leafy_greens	CC573
vegetables	CC29
fruit	CC1070
leafy_greens	CC14
vegetables	CC388
fruit	CC429
seafood	CC121
vegetables	CC20
seafood	CC321
dairy	CC1
dairy	CC224
fruit	CC450
fruit	CC787
fruit	CC1
fruit	CC183
meat	CC8
fruit	CC59
vegetables	CC155
dairy	CC37
dairy	CC6
vegetables	CC5
vegetables	CC4
meat	CC121
dairy	CC4
fruit	CC392
fruit	CC288
seafood	CC31
fruit	CC14
vegetables	none
fruit	CC412
seafood	CC224
meat	CC321
poultry	CC31
vegetables	CC193
seafood	CC288
fruit	CC321
vegetables	CC199
vegetables	CC29
fruit	CC392
meat	CC8
vegetables	CC7
seafood	CC321
poultry	CC321
dairy	CC1
dairy	CC489
fruit	none
dairy	CC87
meat	none
fruit	CC5
vegetables	CC11
vegetables	CC124
dairy	CC5
vegetables	CC217
seafood	CC7
meat	CC224
seafood	CC288
fruit	CC412
seafood	CC321
fruit	CC288
vegetables	none
fruit	CC1
meat	CC121
fruit	CC5
meat	CC8
vegetables	CC689
leafy_greens	CC183
vegetables	CC224
seafood	CC19
leafy_greens	CC5
meat	CC155
meat	CC8
vegetables	CC11
seafood	CC2
seafood	CC321
seafood	none
dairy	CC2
meat	CC5
seafood	CC321
fruit	CC2
fruit	ST581
leafy_greens	CC191
leafy_greens	CC663
fruit	CC2
vegetables	CC9
seafood	CC7
meat	CC121
poultry	none
poultry	CC489
fruit	CC1
seafood	CC121
dairy	CC204
meat	CC9
seafood	CC193
seafood	CC121
fruit	CC9
leafy_greens	ST1050
poultry	CC6
poultry	CC403
fruit	CC14
meat	CC3
fruit	none
seafood	CC8
fruit	CC392
vegetables	CC5
meat	CC9
poultry	CC4
leafy_greens	CC573
fruit	CC183
fruit	CC5
leafy_greens	CC554
dairy	CC489
fruit	CC1
dairy	CC379
fruit	CC59
meat	CC8
meat	CC9
fruit	CC392
